Execution time: 749.271607875824s
Cluster #1: 119.6055816970784
Cluster #2: 139.96886901753604
Cluster #3: 134.26953122624957
Cluster #4: 136.59680656851864
Cluster #5: 231.33737071075126
Cluster #6: 287.3744402935807
Cluster #7: 105.50126264189134
Cluster #8: 134.59316660585628
Cluster #9: 140.25770690668904
Cluster #10: 423.7658790243377
Cluster #11: 195.25652678756728
Cluster #12: 127.4056938287973
Cluster #13: 117.27298791619853
Cluster #14: 164.45084941142724
Cluster #15: 172.57691104090372
Cluster #16: 193.57507130234492
Cluster #17: 139.5502151431898
Cluster #18: 188.7477165403698
Cluster #19: 154.76645580204948
Cluster #20: 213.67344303010708
