Execution time: 907.4700212478638s
Cluster #1: 195.5709384442052
Cluster #2: 113.95019371494915
Cluster #3: 270.7330914101546
Cluster #4: 119.82191491719179
Cluster #5: 117.81279583503202
Cluster #6: 157.62264531858887
Cluster #7: 268.5288094988987
Cluster #8: 116.05073917920966
Cluster #9: 119.25611419010193
Cluster #10: 730.5786476269636
Cluster #11: 198.10438026737967
Cluster #12: 179.09734795301
Cluster #13: 157.99611683773503
Cluster #14: 159.53688142774632
Cluster #15: 118.23011811841639
Cluster #16: 131.41636638566516
Cluster #17: 145.97146649310042
Cluster #18: 192.74552858053636
Cluster #19: 172.73120987897818
Cluster #20: 119.25095190413039
