Execution time: 35.860859394073486s
Cluster #1: 234.6730670377607
Cluster #2: 161.71622693445872
Cluster #3: 70.51980578293627
Cluster #4: 170.4938100601316
Cluster #5: 194.25548167138712
Cluster #6: 164.84766702515185
Cluster #7: 87.80233509811612
Cluster #8: 136.72194901209627
Cluster #9: 109.69249549631915
Cluster #10: 93.09476123716368
Cluster #11: 91.23448927252427
Cluster #12: 228.8290077401038
Cluster #13: 92.16226534695012
Cluster #14: 475.6075853395283
Cluster #15: 104.11000097516946
Cluster #16: 325.6604648375461
Cluster #17: 157.09825143064063
Cluster #18: 128.34021130340454
Cluster #19: 162.7097780603021
Cluster #20: 119.02174087930965
