Execution time: 17.24153161048889s
Cluster #1: 164.41426178324213
Cluster #2: 154.95531723630506
Cluster #3: 199.95128636748134
Cluster #4: 155.85683282061078
Cluster #5: 184.6689752964074
Cluster #6: 120.9894568786034
Cluster #7: 194.35824377403966
Cluster #8: 163.8133039553271
Cluster #9: 152.5099458977674
Cluster #10: 175.20906257692295
Cluster #11: 136.16132180450754
Cluster #12: 152.74413254320146
Cluster #13: 194.90065646927607
Cluster #14: 112.53287440202352
Cluster #15: 164.1782153953381
Cluster #16: 131.24990655309048
Cluster #17: 172.26235996931354
Cluster #18: 442.1165553564025
Cluster #19: 182.90720729026071
Cluster #20: 172.09541076049095
