Execution time: 3.24548602104187s
Cluster #1: 456.44732330029893
Cluster #2: 193.9342691981516
Cluster #3: 201.4526887653353
Cluster #4: 163.8133039553271
Cluster #5: 175.92834601043242
Cluster #6: 146.84228580132898
Cluster #7: 142.3046324297414
Cluster #8: 131.24990655309048
Cluster #9: 158.6427800913486
Cluster #10: 160.28605641467
Cluster #11: 152.45306410215653
Cluster #12: 142.3717435302892
Cluster #13: 142.27635812606644
Cluster #14: 162.6573509520464
Cluster #15: 178.54612108416018
Cluster #16: 214.9282374358672
Cluster #17: 152.2270766078144
Cluster #18: 136.091384069464
Cluster #19: 154.95531723630506
Cluster #20: 175.20906257692295
