Execution time: 4.215854644775391s
Cluster #1: 153.0906431964657
Cluster #2: 188.53041026748852
Cluster #3: 164.67701273438385
Cluster #4: 163.4874764155564
Cluster #5: 158.27220562910972
Cluster #6: 196.79331591312743
Cluster #7: 175.0655704805473
Cluster #8: 194.60388722053688
Cluster #9: 119.43411401017502
Cluster #10: 117.52570552484869
Cluster #11: 114.88277538260111
Cluster #12: 119.29316808227519
Cluster #13: 208.5794743849526
Cluster #14: 171.97112469808332
Cluster #15: 153.102093094581
Cluster #16: 135.55114785175053
Cluster #17: 159.49548568240016
Cluster #18: 195.61024636251668
Cluster #19: 168.59049551841034
Cluster #20: 139.53871586043977
Cluster #21: 126.80139005800643
Cluster #22: 117.1470649424356
Cluster #23: 131.45669229925775
Cluster #24: 280.38004238269895
